MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
64:16:7f:9f:19:f5,Conference,Smartphone;10,2023-10-09 15:16:39,,524,-79,48.94207223593402,2.3058447241608246,134,157.5,,,BT
4c:71:0d:0d:95:ed,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,108,5540,-74,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
4c:71:0d:0d:95:ec,WIFI Kepler2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,108,5540,-74,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:c2:af:c2,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,11,2462,-65,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:c2:af:c3,WIFI Kepler2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,11,2462,-64,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
bc:30:7e:bc:83:32,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,36,5180,-79,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:b6:e8:4d,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,136,5680,-65,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:b6:e8:4c,WIFI Kepler2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,136,5680,-65,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
36:23:87:cc:e3:92,DIRECT-QX-BRAVIA,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2023-10-09 15:16:39,4,2427,-56,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
4c:71:0d:0e:da:2d,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,48,5240,-86,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
4c:71:0d:0e:da:2c,WIFI Kepler2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,48,5240,-90,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:c2:b0:8c,WIFI Kepler2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,120,5600,-83,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
4c:71:0d:0e:da:22,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,6,2437,-81,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:c2:b0:8d,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,120,5600,-83,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
4c:71:0d:0e:da:23,WIFI Kepler2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,6,2437,-83,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:dc:ed:22,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,1,2412,-71,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:b6:e8:42,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,1,2412,-64,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:c2:af:cd,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,36,5180,-62,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:c2:af:cc,WIFI Kepler2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,36,5180,-62,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:c2:b0:82,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,11,2462,-72,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:c2:b0:83,WIFI Kepler2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,11,2462,-72,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:dc:ed:2c,WIFI Kepler2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,104,5520,-73,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
10:b3:d5:dc:ed:2d,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,104,5520,-73,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
4c:71:0d:0d:95:e3,WIFI Kepler2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,6,2437,-74,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
4c:71:0d:0d:95:e2,Visiteurs Kepler,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2023-10-09 15:16:39,6,2437,-73,48.94207223593402,2.3058447241608246,134,157.5,,,WIFI
64:16:7f:9f:19:f5,Conference,Smartphone;10,2023-10-09 15:16:39,,524,-68,48.94207223593402,2.3058447241608246,134,157.5,,,BT
4c:87:5d:60:db:79,LE-Barracuda,Uncategorized;10,2023-10-09 15:16:40,,7936,-59,48.94206754177977,2.305848119857113,133,55.5,,,BT
